date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:21:41	485416/485416	---MCZ	200	added ('OK')	text/css	etag:W/%225f6af030-76828%22	https://colorlib.com/wp/wp-content/plugins/js_composer/assets/css/js_composer.min.css	C:/xampp/htdocs/TDS3/TDS3/colorlib.com/wp/wp-content/plugins/js_composer/assets/css/js_composer.min.css	(from https://colorlib.com/wp/)
21:21:41	64083/64083	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Dec%202020%2014:21:41%20GMT	https://www.youtube.com/howyoutubeworks/user-settings/parental-controls/	C:/xampp/htdocs/TDS3/TDS3/www.youtube.com/howyoutubeworks/user-settings/parental-controls/index.html	(from https://www.youtube.com/howyoutubeworks/?utm_campaign=ytgen&utm_source=ythp&utm_medium=LeftNav&utm_content=txt&u=https%3A%2F%2Fwww.youtube.com%2Fhowyoutubeworks%3Futm_source%3Dythp%26utm_medium%3DLeftNav%26utm_campaign%3Dytgen)
21:21:43	51433/51433	---MCZ	200	added ('OK')	text/css	etag:W/%225fd07d95-c8e9%22	https://colorlib.com/wp/wp-includes/css/dist/block-library/style.min.css	C:/xampp/htdocs/TDS3/TDS3/colorlib.com/wp/wp-includes/css/dist/block-library/style.min.css	(from https://colorlib.com/wp/)
21:21:43	68114/68114	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Dec%202020%2014:21:42%20GMT	https://www.youtube.com/howyoutubeworks/policies/overview/	C:/xampp/htdocs/TDS3/TDS3/www.youtube.com/howyoutubeworks/policies/overview/index.html	(from https://www.youtube.com/howyoutubeworks/?utm_campaign=ytgen&utm_source=ythp&utm_medium=LeftNav&utm_content=txt&u=https%3A%2F%2Fwww.youtube.com%2Fhowyoutubeworks%3Futm_source%3Dythp%26utm_medium%3DLeftNav%26utm_campaign%3Dytgen)
21:21:43	63497/63497	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Dec%202020%2014:21:42%20GMT	https://www.youtube.com/howyoutubeworks/user-settings/autoplay/	C:/xampp/htdocs/TDS3/TDS3/www.youtube.com/howyoutubeworks/user-settings/autoplay/index.html	(from https://www.youtube.com/howyoutubeworks/?utm_campaign=ytgen&utm_source=ythp&utm_medium=LeftNav&utm_content=txt&u=https%3A%2F%2Fwww.youtube.com%2Fhowyoutubeworks%3Futm_source%3Dythp%26utm_medium%3DLeftNav%26utm_campaign%3Dytgen)
21:21:43	69224/69224	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Dec%202020%2014:21:42%20GMT	https://www.youtube.com/howyoutubeworks/policies/monetization-policies/	C:/xampp/htdocs/TDS3/TDS3/www.youtube.com/howyoutubeworks/policies/monetization-policies/index.html	(from https://www.youtube.com/howyoutubeworks/?utm_campaign=ytgen&utm_source=ythp&utm_medium=LeftNav&utm_content=txt&u=https%3A%2F%2Fwww.youtube.com%2Fhowyoutubeworks%3Futm_source%3Dythp%26utm_medium%3DLeftNav%26utm_campaign%3Dytgen)
21:21:43	63031/63031	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Dec%202020%2014:21:43%20GMT	https://www.youtube.com/howyoutubeworks/policies/legal-removals/	C:/xampp/htdocs/TDS3/TDS3/www.youtube.com/howyoutubeworks/policies/legal-removals/index.html	(from https://www.youtube.com/howyoutubeworks/?utm_campaign=ytgen&utm_source=ythp&utm_medium=LeftNav&utm_content=txt&u=https%3A%2F%2Fwww.youtube.com%2Fhowyoutubeworks%3Futm_source%3Dythp%26utm_medium%3DLeftNav%26utm_campaign%3Dytgen)
21:21:44	227368/227368	---MCZ	200	added ('OK')	text/css	etag:W/%225fd13062-3793b%22	https://colorlib.com/wp/wp-content/cache/autoptimize/2/css/autoptimize_single_0ac57146e82fa1dabde6d80bbf46bdbc.css	C:/xampp/htdocs/TDS3/TDS3/colorlib.com/wp/wp-content/cache/autoptimize/2/css/autoptimize_single_0ac57146e82fa1dabde6d80bbf46bdbc.css	(from https://colorlib.com/wp/)
21:21:44	71262/71262	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Dec%202020%2014:21:44%20GMT	https://www.youtube.com/howyoutubeworks/progress-impact/responsibility/	C:/xampp/htdocs/TDS3/TDS3/www.youtube.com/howyoutubeworks/progress-impact/responsibility/index.html	(from https://www.youtube.com/howyoutubeworks/?utm_campaign=ytgen&utm_source=ythp&utm_medium=LeftNav&utm_content=txt&u=https%3A%2F%2Fwww.youtube.com%2Fhowyoutubeworks%3Futm_source%3Dythp%26utm_medium%3DLeftNav%26utm_campaign%3Dytgen)
21:21:44	86810/86810	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Dec%202020%2014:21:44%20GMT	https://www.youtube.com/howyoutubeworks/progress-impact/impact/	C:/xampp/htdocs/TDS3/TDS3/www.youtube.com/howyoutubeworks/progress-impact/impact/index.html	(from https://www.youtube.com/howyoutubeworks/?utm_campaign=ytgen&utm_source=ythp&utm_medium=LeftNav&utm_content=txt&u=https%3A%2F%2Fwww.youtube.com%2Fhowyoutubeworks%3Futm_source%3Dythp%26utm_medium%3DLeftNav%26utm_campaign%3Dytgen)
